"date_id","origin_id","type_id","tag_id","count"
0,0,0,0,1
1061,678,0,2352,1
1060,71,0,7394,1
1060,71,0,1144,1
1060,71,0,7393,1
1060,71,0,205,1
1060,71,0,7392,1
1060,71,0,7391,1
1060,71,0,778,1
1060,71,0,775,1
1059,10,0,3208,1
1061,678,0,7395,1
1059,10,0,7390,1
1059,10,0,210,1
1059,10,0,4589,1
1058,713,8,275,1
1058,713,8,7389,1
1058,713,8,7388,1
1058,713,8,7387,1
1058,713,8,7386,1
1058,713,8,7385,1
1058,713,8,7384,1
1058,713,8,7383,1
1059,10,0,3657,1
1061,678,0,7396,1
1061,678,0,1250,1
1062,276,24,1801,1
1062,276,8,7399,1
1062,276,13,7399,1
1062,276,24,7399,1
1062,276,8,547,1
1062,276,13,547,1
1062,276,24,547,1
1062,276,8,4491,1
1062,276,13,4491,1
1062,276,24,4491,1
1062,276,8,6667,1
1062,276,13,6667,1
1062,276,24,6667,1
1062,276,8,7398,1
1062,276,13,7398,1
1062,276,24,7398,1
1062,276,8,7397,1
1062,276,13,7397,1
1062,276,24,7397,1
1062,276,8,78,1
1062,276,13,78,1
1062,276,24,78,1
1062,276,8,1801,1
1062,276,13,1801,1
1058,713,8,557,1
1058,713,8,7382,1
1058,712,0,7381,1
1058,712,0,1850,1
1055,276,0,3149,1
1055,276,0,7367,1
1054,10,0,124,1
1054,10,0,2715,1
1054,10,0,1824,1
1053,2,0,68,1
1053,2,0,163,1
1053,2,0,7366,1
1053,2,0,4626,1
1053,2,0,7365,1
1053,2,0,7364,1
1053,210,0,4019,1
1053,210,0,7363,1
1053,210,0,3561,1
1053,210,0,1644,1
1052,10,0,7362,1
1052,10,0,7361,1
1052,10,0,2241,1
1052,10,0,1325,1
1052,10,0,1324,1
1052,10,0,7360,1
1052,10,0,7359,1
1052,10,0,7358,1
1055,276,0,287,1
1062,276,24,7400,1
1055,276,0,1850,1
1056,711,0,7369,1
1058,712,0,1741,1
1058,712,0,7380,1
1058,712,0,7379,1
1058,712,0,210,1
1058,712,0,11,1
1058,712,0,928,1
1058,712,0,7378,1
1058,712,0,69,1
1058,712,0,3133,1
1058,712,0,7377,1
1057,93,0,426,1
1057,93,0,7376,1
1057,93,0,287,1
1057,93,0,0,1
1056,2,0,5972,1
1056,2,0,7375,1
1056,2,0,7374,1
1056,2,0,52,1
1056,2,0,592,1
1056,711,0,7373,1
1056,711,0,7372,1
1056,711,0,7371,1
1056,711,0,7370,1
1056,711,0,7368,1
1062,276,13,7400,1
1062,276,8,7400,1
1062,276,24,7401,1
1063,714,16,7422,1
1063,714,9,7422,1
1063,714,16,7421,1
1063,714,9,7421,1
1063,714,16,7420,1
1063,714,9,7420,1
1063,714,16,592,1
1063,714,9,592,1
1063,93,8,426,1
1063,93,8,7419,1
1063,93,8,7418,1
1063,93,8,7417,1
1063,93,8,18,1
1063,138,0,7416,1
1063,138,0,7415,1
1063,138,0,7414,1
1063,138,0,3364,1
1063,138,0,5690,1
1063,138,0,205,1
1063,138,0,378,1
1063,138,0,237,1
1062,276,8,7413,1
1062,276,13,7413,1
1063,714,9,7423,1
1062,276,24,7413,1
1063,714,16,7423,1
1063,714,16,986,1
1065,716,0,7433,1
1065,716,0,7432,1
1065,716,0,754,1
1065,716,0,8,1
1065,716,0,56,1
1065,716,0,7431,1
1065,716,0,7430,1
1064,715,16,7429,1
1064,715,16,7428,1
1064,715,16,7427,1
1064,715,16,7426,1
1063,714,16,7425,1
1063,714,9,7425,1
1063,714,16,322,1
1063,714,9,322,1
1063,714,16,163,1
1063,714,9,163,1
1063,714,16,7424,1
1063,714,9,7424,1
1063,714,16,2309,1
1063,714,9,2309,1
1063,714,16,701,1
1063,714,9,701,1
1063,714,9,986,1
1052,10,0,4360,1
1062,276,8,7412,1
1062,276,24,7412,1
1062,276,8,7405,1
1062,276,13,7405,1
1062,276,24,7405,1
1062,276,8,7404,1
1062,276,13,7404,1
1062,276,24,7404,1
1062,276,8,1250,1
1062,276,13,1250,1
1062,276,24,1250,1
1062,276,8,257,1
1062,276,13,257,1
1062,276,24,257,1
1062,276,8,7403,1
1062,276,13,7403,1
1062,276,24,7403,1
1062,276,8,7402,1
1062,276,13,7402,1
1062,276,24,7402,1
1062,276,8,3606,1
1062,276,13,3606,1
1062,276,24,3606,1
1062,276,8,7401,1
1062,276,13,7401,1
1062,276,24,7406,1
1062,276,13,7412,1
1062,276,13,7406,1
1062,276,24,7407,1
1062,276,8,1850,1
1062,276,13,1850,1
1062,276,24,1850,1
1062,276,8,7411,1
1062,276,13,7411,1
1062,276,24,7411,1
1062,276,8,7410,1
1062,276,13,7410,1
1062,276,24,7410,1
1062,276,8,7409,1
1062,276,13,7409,1
1062,276,24,7409,1
1062,276,8,7408,1
1062,276,13,7408,1
1062,276,24,7408,1
1062,276,8,161,1
1062,276,13,161,1
1062,276,24,161,1
1062,276,8,415,1
1062,276,13,415,1
1062,276,24,415,1
1062,276,8,7407,1
1062,276,13,7407,1
1062,276,8,7406,1
1065,716,0,263,1
1052,10,0,7357,1
1052,0,0,2790,1
1040,4,8,2684,1
1040,4,8,7311,1
1040,4,8,7310,1
1039,2,13,7309,1
1039,2,13,7308,1
1039,2,13,630,1
1039,2,13,7307,1
1038,342,0,4465,1
1038,342,0,1988,1
1038,342,0,1144,1
1040,4,8,1324,1
1038,342,0,6342,1
1038,342,0,247,1
1038,342,0,205,1
1038,342,0,2194,1
1038,342,0,1166,1
1038,295,2,263,1
1038,295,9,263,1
1038,295,19,263,1
1038,295,2,885,1
1038,295,9,885,1
1038,295,19,885,1
1038,342,0,7306,1
1040,4,8,1325,1
1040,4,8,99,1
1040,4,8,1740,1
1042,453,0,1644,1
1042,706,13,161,1
1042,706,13,7320,1
1042,706,13,987,1
1042,706,13,7319,1
1042,706,13,382,1
1042,706,13,7318,1
1042,706,13,845,1
1042,706,13,535,1
1042,706,13,284,1
1042,706,13,3808,1
1042,706,13,7317,1
1041,430,0,7316,1
1041,430,0,1641,1
1041,430,0,1644,1
1040,705,0,7315,1
1040,705,0,7314,1
1040,705,0,7313,1
1040,705,0,7312,1
1040,705,0,706,1
1040,705,0,1068,1
1040,4,8,2939,1
1040,4,8,100,1
1038,295,2,205,1
1038,295,9,205,1
1038,295,19,205,1
1038,295,2,6691,1
1036,2,0,7292,1
1036,2,0,102,1
1036,2,0,7291,1
1036,704,0,7290,1
1036,704,0,7289,1
1036,704,0,1259,1
1036,704,0,7288,1
1036,704,0,2056,1
1036,704,0,24,1
1036,704,0,7287,1
1036,704,0,7286,1
1036,704,0,4459,1
1036,704,0,7285,1
1035,295,0,1850,1
1035,295,0,7284,1
1035,295,0,7283,1
1035,295,0,7282,1
1035,398,0,7281,1
1035,398,0,794,1
1035,398,0,113,1
1035,398,0,7280,1
1035,398,0,7279,1
1035,398,0,7278,1
1036,2,0,7293,1
1042,453,0,7321,1
1036,2,0,6813,1
1036,2,0,7295,1
1038,295,9,6691,1
1038,295,19,6691,1
1038,295,2,7235,1
1038,295,9,7235,1
1038,295,19,7235,1
1037,10,0,1850,1
1037,10,0,7305,1
1037,10,0,4152,1
1037,10,0,7304,1
1037,10,0,4161,1
1037,10,0,7303,1
1037,10,0,7302,1
1037,10,0,96,1
1037,10,0,7301,1
1037,10,0,95,1
1037,10,0,0,1
1036,2,0,7300,1
1036,2,0,7299,1
1036,2,0,6814,1
1036,2,0,7298,1
1036,2,0,7297,1
1036,2,0,1685,1
1036,2,0,7296,1
1036,2,0,7294,1
1042,453,0,7322,1
1042,453,0,7323,1
1042,453,0,7324,1
1049,710,22,2501,1
1049,710,6,2501,1
1049,710,22,7347,1
1049,710,6,7347,1
1049,710,22,7346,1
1049,710,6,7346,1
1049,710,22,7345,1
1049,710,6,7345,1
1049,710,22,372,1
1049,710,6,372,1
1049,710,22,7344,1
1049,710,6,7344,1
1048,276,0,1850,1
1048,276,0,647,1
1048,276,0,7343,1
1048,276,0,1767,1
1048,276,0,4021,1
